item_no,property_no,acquisition_date,measurement_unit,quantity,particulars, unit_cost ,remarks,end_user,status
63,2024-001,2023-12-27,17,1,"Camera Dehumidifying dry Cabinet, ANDBON AD-180S 180L Electronic Automatic Digital Storage","31,000.00",,153,Active
64,2024-002,2023-12-28,30,1,"Camera Lens, Sigma 10mm F2.8 for Nikon","42,990.00",,153,Active
65,2024-003,2023-12-28,30,1,"Camera Cleaner Kit 23 for Canon, Nikon, Sony","1,200.00",,153,Active
66,2024-139,2024-01-08,17,1,"Camera Lens for Sony APS-C mirrorless camera, Sigma 56mm F/1.4 DC DN","29,500.00",,153,Active
67,"2024-140,2024-141",2024-01-08,17,2,"Camera Cage for Sony 6400 APS-C Camera, Small rig cage","4,950.00",,153,Active
68,2024-083,2024-01-04,17,1,"Balloon Inflator, electric, automatic, heavy duty",980,,153,Active
69,"2024-084,2024-085",2024-01-04,17,2,"Newspaper Rack, 3-tier, aluminum, portable, Deli","3,990.00",,153,Active
70,"2024-086,2024-087",2024-01-04,17,2,"Rechargeable Reading Lamp, clip on type, Yolomo Brand, White, 4W 5V",905,,153,Active
71,21-09-113,2021-07-09,30,1,"Laptop Computer, Acer Nitro 5","50,562.00",,153,Active
72,2024-092,2024-01-18,30,1,"UPS, APC 1200VA","8,200.00",,153,Active
73,2024-142,2024-01-03,17,1,Studio Flash Strobe Godox QS400II,"9,850.00",,153,Active
74,2024-143,2024-01-03,17,1,"S-type Flash Bracket Bowens S Mount Holder for Softbox, Godox","1,500.00",,153,Active
75,"2024-185,2024-186",2024-01-15,17,2,"Orico USB C Docking Station, 8 in 1 USB C Songle with HDMI 4K","2,850.00",,153,Active
76,2024-187,2024-01-15,17,1,"Portable Power Station, Yoqu","19,500.00",,153,Active
77,"2024-188,2024-189,2024-190",2024-01-15,17,3,"Mechanical Keyboard, Aula","2,200.00",,153,Active
78,2024-191,2024-01-15,17,1,"Portable Power Speaker, JBL Party Box 310","33,000.00",,153,Active
79,2024-192,2024-01-15,17,1,"Wireless Microphone, 2 pieces, JBL VM-860","8,200.00",,153,Active
80,2024-193,2024-01-15,17,1,"4 Slot AA Battery Charger + 8 pieces 2,000MAH Rechargeable Batteries","4,800.00",,153,Active
81,2024-194,2024-01-15,17,1,"Wireless Presenter Pointer, Rapoo XR200","1,500.00",,153,Active
82,"2024-195,2024-196",2024-01-15,17,1,"4 in 1 USB/ Type C Card Reader for SD/TF/CF MS Memory Smart Card, Ugreen 4 Ports","1,350.00",,153,Active
83,"2024-197,2024-198,2024-199",2024-01-15,17,3,"Wireless Mouse, Logitech",850,,153,Active
84,2024-200,2024-01-15,17,1,"HDMI Cable, 3M",350,,153,Active
85,2024-253,2024-01-24,17,1,"Tape Dispenser, table top, heavy duty, MGK",106.95,,153,Active
86,2024-254,2024-01-24,30,1,"Dish Drainer, plastic, with cover, Megabox",985,,153,Active
87,"2024-261,2024-262",2024-01-29,23,2,"Full Duplex Wireless Communication  (Intercom System), Saramonic Witalk 4D, 4 in 1 23","49,990.00",,153,Active
88,2024-255,2024-01-24,17,1,"DSLR Camera (body only), EOS 250D, 64GB SD","49,500.00",,153,Active
89,2024-256,2024-01-24,17,1,"DSLR Telephone Lens, Canon ER 70-3000","49,999.00",,153,Active
90,2023-905,2023-11-03,17,1,LED Video Light with accessories,"9,500.00",,153,Active
91,"2023-906,2023-915",2023-11-03,17,2,"Light Stand Tripod for studio Softbox, stainless steel, heavy duty","9,000.00",,153,Active
92,2023-907,2023-11-03,17,1,Wireless Flash Trigger for Sony Camera,"2,990.00",,153,Active
93,"2023-908,2023-909",2023-11-03,17,2,120cm Reflector Parabolic Soft Box for Bowens Mount,"4,990.00",,153,Active
94,2023-910,2023-11-03,23,1,"U-Shaped Curved Reflector, 4 in 1 23","6,990.00",,153,Active
95,2023-911,2023-11-03,17,1,Round Head Camera Flash Speedlite Wireless 2.4g for Sony,"12,999.00",,153,Active
96,2023-912,2023-11-03,23,1,"Seamless Background Paper, 3 in1 23","4,500.00",,153,Active
97,2023-913,2023-11-03,17,1,"Reflector Umbrella for Photography Studio Shooting, 40""","1,400.00",,153,Active
98,2023-914,2023-11-03,17,1,"USB Extension Cable, 15ft.",495,,153,Active
99,2024-263,2024-01-29,17,1,"Guitar Jack Cable, Blue",995,,153,Active
100,2024-184,2024-01-08,30,1,"Paper Shredder, Heavy Duty, Aurora","9,800.00",WMR 25-02-040,153,Active
101,SPLV-2024-03-379,2024-03-08,17,1,"Calculator, Casio MX-12B",450,,153,Active
102,2020-04-012,2020-04-29,30,1,"LAPTOP, HP Elitebook x 360 1030 G2 with carrying Case","68,650.00",,153,Active
103,"SPLV-2024-04-517,SPLV-2024-04-518,SPLV-2024-04-519,SPLV-2024-04-520",2024-03-13,30,4,Stainless Flag Pole with Stand,"3,000.00",,153,Active
104,"2024-287,2024-288",2024-02-05,17,2,Cleaning Kit for Camera Lens,350,,153,Active
105,"2024-289,2024-290",2024-01-23,17,2,"Webcam, Logitech Brio 300","4,200.00",,153,Active
106,2024-291,2024-01-23,17,1,"8-Port Gigabit Easy Smart Switch/Hub, TP Link","2,750.00",,153,Active
107,2024-149,2024-01-23,30,1,Nikon Z50 Body Only,"49,500.00",,153,Active
108,"2023-924,2023-925,2023-926,2023-928(1)",2023-12-27,17,4,"Stapler, standard type, Metro Brand",145,,153,Active
109,2023-928(2),2023-12-27,17,1,"Stapler, standard type, DL Brand",145,,153,Active
110,SPLV-2024-03-395,2024-03-08,17,1,"Tape Dispenser, Heavy Duty, Table Top, Sure Brand",95,,153,Active
111,SPHV-2024-10-924,2024-09-26,17,1,"Camera Lens for Nikon, Viltrox","33,820.00",,153,Active
112,SPLV-2024-10-925,2024-09-26,17,1,Camera Battery for Canon,"3,380.00",,153,Active
113,SPLV-2024-10-926,2024-09-26,17,1,Camera Battery for Nikon,"4,449.00",,153,Active
114,SPHV-2024-10-927,2024-09-26,17,1,"Camera Lens for Sony E-Mount, Tamron","43,000.00",,153,Active
115,"SPLV-2024-09-799,SPLV-2024-09-800",2024-08-21,17,2,4 Port USB 3.0 C Hub Ultra Slim High Speed USB Splitter,450,,153,Active
116,SPHV-2024-12-1108,2024-08-21,17,1,"Communication Hub Base Station, Saramonic Intercom","20,990.00",,153,Active
117,SPHV-2024-12-1070,2024-12-05,30,1,"Printer, Epson L5290","14,000.00",,153,Active
118,SPHV-2024-12-1071,2024-12-05,30,1,"Printer, Canon CP1500","12,100.00",,153,Active
119,"SPLV-2024-12-1156,SPLV-2024-12-1157",2024-12-18,17,2,Large Capacity Camera Backpack,"4,980.00",,153,Active
120,SPHV-2024-12-1158,2024-12-23,30,1,"Air Purifier, Dowell","19,499.00",,153,Active
121,SPHV-2024-03-426,2024-03-13,30,1,"Monitor, AOC 27""","6,850.00",,153,Active
122,"SPLV-2024-10-928,SPLV-2024-10-929",2024-09-11,17,2,HDMI Video Capture,580,,153,Active
123,"SPLV-2024-930SPLV-2024-10-931,SPLV-2024-10-932",2024-09-11,17,3,"Flash Drive, Samsung, 256GB",545,,153,Active
124,"SPLV-2024-10-933,SPLV-2024-10-934,SPLV-2024-10-935,SPLV-2024-10-936",2024-09-11,17,4,USB Adapter USB C to USB Male Adapter USB Female (Type-C) to USB 2.0 Male (USB-A) Data Sync OTG Adapter Connector,190,,153,Active
125,SPHV-2024-12-1168,2024-12-17,30,1,"Micro-Cut Heavy Duty Paper Shredder, Comix S6610 35L","24,950.00",,153,Active
126,"SPHV-2024-12-1137,SPHV-2024-12-1138",2024-12-17,30,2,"Printer, Brother DCP-T720DW","13,950.00",,153,Active
127,"SPLV-2024-12-1170,SPLV-2024-12-1171,SPLV-2024-12-1172,SPLV-2024-12-1173,SPLV-2024-12-1174",2024-12-27,17,5,"Portable Booth, Customized Kiosk","4,400.00",,153,Active
128,SPHV-2024-12-1179,2024-12-20,17,1,Modern Podium with Baffle Plate,"5,750.00",,153,Active
129,"SPLV-2024-12-1177,SPLV-2024-12-1178",2024-12-20,17,2,"USB Docking Station, Type-C to HDTV 8 in 1, Gray Color",999,,153,Active
1,120-14,2014-05-12,30,1,Biometric Machine,"20,100.00",from: C. Kimmakim,56,Active
2,PAR 16-008,2016-04-11,30,1,CPU Assembled,"30,782.00",from: C. Kimmakim,56,Active
3,2020-1090,2020-01-30,17,1,"Mouse USB interface, A4 Tech",270,from: C. Kimmakim,56,Active
4,"2019-1043,2019-1044",2019-11-28,30,2,"Swivel Chair, without armrest, 6 metal feet and wheels, heavy duty adjustable material, GD C 605G","2,480.00",from: C. Kimmakim,56,Active
5,2020-1411,2020-07-16,30,1,"Xenon LED TV 32""","11,280.00",from: C. Kimmakim,56,Active
6,2020-12-0181,1905-07-12,30,1,CPU Assembled,"28,587.00",from: C. Kimmakim,56,Active
7,2017-513,2017-11-20,30,1,"Portable Scanner, Brother DS-720D","11,900.00",from: S. Judan,56,Active
8,2019-468,2019-05-21,30,1,"Laptop Touch Screen, OS Windows 10, ACER Intel Celeron, 100GB(1TB), 2 GB 11.5"", Win 10","14,990.00",from: S. Judan,56,Active
9,2019-470,2019-05-21,17,1,"External Hard Drive, Silicon Power Armor A30","3,495.00",from: S. Judan,56,Active
10,2019-383D,2019-04-26,17,1,"Stapler, Heavy duty, metal base",165,from: S. Judan,56,Active
11,818-2K,1998-10-30,17,1,Glass Cabinet,"7,300.00",from: S. Judan,56,Active
12,2019-523(1),2019-06-13,17,1,"Portable Scanner, Epson DS-310","14,990.00",from: S. Judan,56,Active
13,2019-760,2019-10-18,17,1,"Calculator, Two, way power 12 digits, Tilt Display, JS-120, Casio 512 of, 12 digits, Solar & Battery",725,from: S. Judan,56,Active
14,2020-1032,2020-01-30,30,1,Extension Cord,650,from: S. Judan,56,Active
15,"2021-1044,2021-1076",2021-08-03,17,2,"UPS, EATON 5L 1200 USB, 1200VA/600W,230V","6,800.00",,56,Active
16,21-08-58,2021-08-03,30,1,CPU Assembled,"44,603.00",,56,Active
17,2021-1108,2021-08-03,17,1,"Keyboard, Logitech",700,,56,Active
18,2021-1406,2021-08-03,17,1,"Mouse, Logitech",400,,56,Active
19,2021-1276,2021-08-27,17,1,Self-inkinmg stamp,995,,56,Active
20,21-09-106,2021-07-09,30,1,"Laptop Computer, Acer Nitro 5","50,562.00",,56,Active
21,2021-1588,2021-10-06,17,1,"Monitor, Viewsonic 23.8""","5,692.20",,56,Active
22,2021-482,2021-04-27,17,1,Whiteboard,"4,150.00",from: A. Lamsen,56,Active
23,2021-600,2021-04-27,17,1,Cork Board with Frame,840,from: A. Lamsen,56,Active
24,2021-118,2021-01-22,17,1,"Speakerphone, Mid-range portable USB and Bluetooth Speakerphone Speak 510, Jabra Speak 510","8,985.00",from: E. Calinao,56,Active
25,"2021-1560,2021-1561",2021-10-04,17,2,"Extension Cord, 10 meters with 6 universal gang","1,000.00",from: C. Dirige,56,Active
26,2022-003,2021-12-28,23,1,"Keyboard & Mouse, Rise DS-139",400,,56,Active
27,2021-747,2021-05-07,30,1,VGA Male to HDMI Female Adapter,695,from: E. Calinao,56,Active
28,2019-976 ,2019-12-11,30,1,"OFFICE TABLE, 120cm x 60cm x 75 with 4 drawers","4,490.00",from: E. Calinao,56,Active
29,2019-12-091A(2),2020-01-13,17,1,Monitor,,from: E. Lagera,56,Active
30,2020-1898,2020-12-23,30,1,"Water Dispenser, Electrolux","12,995.00",from: E. Calinao,56,Active
31,2019-09-044,1905-07-11,30,1,"Heavy duty copier with full tank of ink, Develop-Ineo 287","205,344.00",from: E. Calinao,56,Active
32,2016-09-0004,2016-09-01,30,1,"Airconditioning, split type","34,706.25",from: E. Calinao,56,Active
33,2016-09-0003,2016-09-01,30,1,Aircon Split-type,"34,706.25",from: E. Calinao,56,Active
34,2018-073,2018-01-29,30,1,"Swivel Chair, Ergonomic design, with foam covered with mesh bright colored, NL 2063","2,990.00",from: D. Cayachen,56,Active
35,"2022-410,2022-411,2022-412",2022-06-14,17,3,"Office Table, with center drawer & 3 side drawers with lock, narra plywood, strong & durable, natural color, L100 x W50cm x H75cm","4,500.00",,56,Active
36,2023-004,2022-12-28,17,1,"Extension Cord, 16 gang, Tower type","1,150.00",,56,Active
37,2022-194,2022-03-11,17,1,"Keyboard, A4Tech",330,,56,Active
38,2019-523(2),2019-06-13,17,1,"Portable Scanner, Epson DS-310","14,990.00",from: T. Abenes,56,Active
39,2019-763,2019-10-18,17,1,"Calculator, Two-way power, 12 digits, Tilt Display, JS-120, Casio 512 OF, 12 digits/Solar & Battery",725,from: T. Abenes,56,Active
40,16-627,2016-11-08,30,1,"Office table, 39"" x 30"" w/ center drawer","2,228.00",from: T. Abenes,56,Active
41,2019-370,NULL,30,1,"Paper Shredder, cutting width: 3mm-4mm, Aurora AS1601CT","3,750.00",from: T. Abenes,56,Active
42,2019-1018,2019-12-16,17,1,"UPS, 100 VA 230 with AVR Universal and IEC Sockets, AWP 1500 VA 2 years warranty","5,200.00",from: T. Abenes,56,Active
43,2020-015,2020-01-10,30,1,Puncher,135,from: T. Abenes,56,Active
44,2020-1089,2020-01-30,17,1,"Mouse USB Interface, click once of twice, 2x button, A4 Tech",270,from: T. Abenes,56,Active
45,2021-1611,2022-10-06,30,1,"Monitor, Viewplus 23.8""","6,678.00",from: T. Abenes,56,Active
46,2021-1901,2021-11-23,30,1,"External Hard Disk Drive, 2TB, ADATA","4,273.49",from: T. Abenes,56,Active
47,22-06-036,2022-06-14,30,1,Assembled CPU,"37,928.00",from: T. Abenes,56,Active
48,"2022-415,2022-416",2022-06-14,17,2,"Office Table, with center drawer & 3 side drawers with lock, narra plywood, strong & durable, natural color, L100 x W50cm x H75cm","4,500.00",from: T. Abenes,56,Active
49,2019-895,2019-11-25,30,1,"Swivel Chair, Black leather managers office swivel chair, adjustable (SHIVLAX)","4,250.00",from: T. Abenes,56,Active
50,2022-499,2022-09-08,17,1,"Speakerphone, Jabra Speak 510","7,950.00",from: T. Abenes,56,Active
51,"2022-530,2022-531",2022-09-30,17,2,"Keyboard, A4Tech",400,,56,Active
52,2022-569,2022-09-30,17,1,"Mouse, A4Tech",150,,56,Active
53,2022-711,2022-12-09,30,1,"Laptop, Acer TravelMate P2","42,800.00",from: C. Mamaradlo,56,Active
54,2023-237,2023-05-16,17,1,"Stapler, standard type, Joy Brand",120,,56,Active
55,2023-189,2023-05-04,30,1,"Whiteboard, 3 ft. x 3ft., with metal frame","1,350.00",,56,Active
56,2023-183,2023-04-28,17,1,"Stapler, heavy duty, binder type",850,,56,Active
57,2019-154,2016-02-06,17,1,"Monitor, LED 20"", Black","4,795.00",from: K. Raguindin,56,Active
58,2023-291,2023-06-14,17,1,"Calculator, TM-12",200,,56,Active
59,21-08-65,2021-08-03,30,1,CPU Assembled,"44,603.00",from: E. Calinao,56,Active
60,2020-06-0170,NULL,30,1,CPU assembled,"38,550.85",from: C. Mamaradlo,56,Active
61,2022-725,2022-12-22,30,1,CPU Assembled,"40,700.00",from: R. Marquez,56,Active
62,2019-12-096,2019-12-04,30,1,"DESKTOP COMPUTER, Acer Veriton M2640G - Monitor Only","39,208.00",,56,Active
63,2019-12-097,2019-12-04,30,1,"DESKTOP COMPUTER, Acer Veriton M2640G - Monitor Only","39,208.00",,56,Active
64,2024-052,2023-12-29,30,1,"Portable Tablet, Samsung S9 fe+, 12.4 inches, w/ book cover, keyboard and adapter","42,615.00",,56,Active
65,SPLV-2024-03-337,2024-03-05,17,1,"Puncher, heavy duty, 2-hole guide",150,,56,Active
66,2022-312,2022-01-20,30,1,"Printer, HP Laser 107W","8,176.00",from: N. Pagadut,56,Active
67,2023-859,2023-12-06,30,1,"Printer, Epson L5290","14,200.00",,56,Active
68,SPLV-2024-03-441,2024-03-13,23,1,"Keyboard and Mouse Combo, Logitech",700,,56,Active
69,"SPLV-2024-07-671,SPLV-2024-07-672",2024-06-27,30,2,"Stapler, standard type, Joy Brand",201.4,,56,Active
70,SPLV-2024-08-736,2024-07-19,30,1,"Head23, Redragon H848 IRE Pro Ultra Light Wireless","1,900.00",,56,Active
71,SPHV-2024-08-747,2024-07-19,30,1,"Printer, Epson L5290","14,000.00",,56,Active
72,541-10,2010-12-02,17,1,Printer Laserjet HP P2035N,"25,800.00",from: A. Gawidan,56,Active
73,2017-12-048,2017-12-08,30,1,"Desktop Computer, HP 280 G2 Microtower","49,151.74",from: A. Gawidan,56,Active
74,2020-1156,2020-03-10,30,1,"Calculator, two-way power. 12 digits, tilt display. JS-120",920,from: A. Gawidan,56,Active
75,2016-068,2015-10-12,17,1,"Water Dispenser, Hanabishi","4,799.00",from: A. Gawidan,56,Active
76,2021-116,2021-01-22,17,1,"Speakerphone, Mid-range portable USB and Bluetooth Speakerphone Speak 510, Jabra Speak 510","8,985.00",from: A. Gawidan,56,Active
77,2021-153,2021-01-22,17,1,"4K Webcam with HDR abd Windows Hello support, 4K Ultra HD video calling, Logitech C930e","9,580.00",from: A. Gawidan,56,Active
78,2020-1420,2020-07-16,30,1,"Xenon LED TV 32""","11,280.00",from: A. Gawidan,56,Active
79,15-209,2015-06-10,30,1,"UPS, Infinite, Model: APX1200MA","6,153.99",from: A. Gawidan,56,Active
80,2021-1230,2021-08-13,17,1,"Self-Inking Stamp ""Anna Theresa Gawidan""","1,000.00",from: A. Gawidan,56,Active
81,2021-1233,2021-08-13,17,1,"Self-Inking Stamp, Specimen Signature","1,000.00",from: A. Gawidan,56,Active
82,505-10,2010-11-24,17,1,"Filing Cabinet, 3 drawers, steel","7,000.00",from: A. Gawidan,56,Active
83,2022-617,2022-10-26,30,1,"UPS, Secure 1000VA","3,945.00",from: A. Gawidan,56,Active
84,2022-549,2022-09-30,17,1,"Mouse, A4Tech",150,from: A. Gawidan,56,Active
85,2022-648,2022-09-08,30,1,CPU Assembled,"32,327.00",from: A. Gawidan,56,Active
86,"2023-210,2023-211",2023-05-11,17,2,"Stapler with staple remover, heavy duty, Joy Brand",148.4,from: A. Gawidan,56,Active
87,2023-389,2023-07-24,17,1,"Monitor, AOC 27""","7,050.00",from: A. Gawidan,56,Active
88,2023-467,2023-08-09,30,1,"Monitor, Skyworth 23.8""/IPS/144HZ","7,720.00",from: A. Gawidan,56,Active
89,2023-476,2023-08-15,30,1,"Computer Central Processing Unit, Intel Core i7 12700, B660 Motherboard, Kingston 16GB DDR4, 512GB SSD M2, Seagate 1TB, Antec casing, Antec 850W Gold","41,300.00",from: A. Gawidan,56,Active
90,2023-341,2023-07-17,23,1,"Keyboard and Mouse, Logitech",700,from: A. Gawidan,56,Active
91,2020-1029,2020-01-30,30,1,"Extension Cord, 1-2 meters cord, 5 gang with switch",650,from: A. Gawidan,56,Active
92,21-08-73,2021-08-03,30,1,CPU assembled,"44,603.00",from: A. Gawidan,56,Active
93,SPLV-2024-03-336,2024-03-05,17,1,"Puncher, heavy duty, 2-hole guide",150,from: A. Gawidan,56,Active
94,SPLV-2024-08-734,2024-07-19,30,1,"Head23, Redragon H848 IRE Pro Ultra Light Wireless","1,900.00",from: A. Gawidan,56,Active
95,15-151,2015-06-10,30,1,"Computer Desktop, Acer (CPU Only)","25,000.00",from: A. Gawidan,56,Active
96,15-180,2015-06-10,30,1,"Monitor, LCD, Acer","5,000.00",from: A. Gawidan,56,Active
97,SPHV-2024-07-693,2024-07-17,30,1,"Shredder, Aurora AS1219CE","10,995.00",from: A. Gawidan,56,Active
98,"SPLV-2024-09-877,SPLV-2024-09-878",2024-09-18,30,2,"Stapler, heavy duty, Joy Brand",931.25,,56,Active
99,SPLV-2024-12-1086,2024-12-05,30,1,"UPS, Eaton 5A 700I-NEMA 700VA/360W","2,050.00",,56,Active
100,"SPHV-2024-12-1161,SPHV-2024-12-1162",2024-12-20,30,2,"Smart Phone, Samsung A16","10,500.00",,56,Active
1,2019-797,2019-11-07,30,1,"Android tablet, 8"" Wuxga TFT capacitative display, 1290 x 1200 px. S-Pen support, OS: Samsung one IU (Android 9.0 Pie) Samsung Tab A","14,990.00",,351,Active
2,1573-16 ,2020-06-05,30,1,Misting Machine,"200,000.00",,351,Active
3,1574-16,2020-06-05,30,1,Misting Machine,"200,000.00",,351,Active
4,2019-962,2019-11-27,30,1,"Laptop, windows 10 home; processor; intel celeron N3060 processor, dual core processor, ACER A114-32-COB4, CEL N4000 14"", 4GB DDR","14,900.00",From: T. Daway,351,Active
5,2020-1207,2020-03-19,30,1,Plastic Storage Box,"1,090.00",From: T. Daway,351,Active
6,2020-1491,2020-09-09,17,1,Jabra Speak 510 (Portable Conference Omni-Directional Speakerphone,"7,280.00",From: T. Daway,351,Active
7,2020-1506,2020-09-16,17,1,"Tripod, WF 3740","1,990.00",From: T. Daway,351,Active
8,"2020-1649,2020-1650",2020-09-30,17,2,"Mouse and Keyboard, Logitech Mk120",750,From: T. Daway,351,Active
9,"2020-1677,2020-1678",2020-10-08,17,2,"Monitor Panel Type, Asus V2 239He, 23"", IPS","7,900.00",From: T. Daway,351,Active
10,2020-1676,2020-10-08,17,1,Full HD Webcam,"8,295.00",From: T. Daway,351,Active
11,2020-1732,2020-10-27,17,1,VGA to HDMI Adapter,495,From: T. Daway,351,Active
12,2020-1733,2020-10-27,17,1,"Hard Disk Drive, External, 1 TB with USB Cable Connector","3,200.00",From: T. Daway,351,Active
13,2020-1848,2020-12-04,17,1,"Plastic Storage Box, 120L","1,100.00",,351,Active
14,2021-081,2021-01-21,17,1,"Paper Cutter, A3, metal/steel base ","1,200.00",,351,Active
15,2021-093,2021-01-22,30,1,"Printer, Epson L5190","14,750.00",,351,Active
16,2021-200,2021-02-02,17,1,"File Cabinet , 2 drawers, with lock","5,200.00",,351,Active
17,2021-201,2021-02-02,17,1,"Plastic Storage Box, 120L","1,100.00",,351,Active
18,21-02-19,2021-01-29,30,1,Assembled CPU,"41,040.00",,351,Active
19,21-02-20,2021-01-29,30,1,Assembled CPU,"41,040.00",,351,Active
20,2021-265,2021-02-09,30,1,"Projector, w/ HDMI/ VGA Port, VANKYO 470","12,995.00",,351,Active
21,2021-273,2021-03-04,17,1,"Office Chair, mid-back, 360 degrees swivel function, tilting mechanism, pneumatic height adjustment, 300mm, nylon bse with PU casters, 100kg maximum weight capacity","5,000.00",,351,Active
22,2017-01-001,2016-12-17,30,1,Ultra Low Volume Misting Machine,"124,000.16",,351,Active
23,2017-01-002,2016-12-17,30,1,Ultra Low Volume Misting Machine,"124,000.16",,351,Active
24,969-11,2011-11-04,30,1,"Filing Cabinet, steel, 3 drawers, gray","6,984.34",from: C. Caluza,351,Active
25,2020-1608,2020-10-08,30,1,"HDMI Cable, braided with cap on both sides, 5M, gold plated, durable","1,400.00",from: C. Caluza,351,Active
26,2020-1742,2020-10-29,17,1,Tripod,"1,900.00",from: C. Caluza,351,Active
27,2021-030,2021-01-12,17,1,"Individual Switch Extension Cord 6 gang, 1 meter",740,from: C. Caluza,351,Active
28,2022-274,2022-04-08,17,1,"Corkboard without frame, 2 x 3ft.",345,,351,Active
29,276-2K,1993-01-01,30,1,"Stereomicroscope with stereozoom, Electric, Leica Zoom 2000","30,000.00",from: U. Segundo,351,Active
30,837-2K,1998-06-29,30,1,"Stereoscope, American Optical, manual","30,000.00",from: U. Segundo,351,Active
31,698-2K,NULL,30,1,"Stereoscope, AO Spencer, No.5 complete with access","25,000.00",from: U. Segundo,351,Active
32,952-2K,NULL,30,1,"Microscope, binocular, Olympus","63,950.00",from: U. Segundo,351,Active
33,242-10,2010-05-31,30,1,"Microscope, Olympus, CX21, Japan, SN 0A81734","38,500.00",,351,Active
34,018-06,2003-09-01,30,1,"Sprayer, Malaria Spray Can, Hudson X-Pert, Stainless Steel Compression","35,000.00",,351,Active
35,2022-663,2022-01-31,30,1,"Printer, Brother MFC T920DW","14,150.00",,351,Active
36,202-06,2006-05-15,30,1,"Microscope, Model CX21FSI","27,227.27",,351,Active
37,20-06,2006-06-30,30,1,"Microscope, binocular, Olympus","75,000.00",,351,Active
38,23-06,2006-06-30,30,1,"Microscope, binocular, Olympus","75,000.00",,351,Active
39,"62-12,63-12",2012-01-24,30,2,Ningbo Microscope,"14,743.00",,351,Active
40,2023-451,2023-08-14,17,1,"UPS, Secure 2000VA","5,300.00",,351,Active
41,"2023-813,2023-814",2023-12-04,17,2,"Swivel Chair, executive faux leather, high back, with fixed armrest, 5 metal feet and wheels, heavy duty, tilt lock mechanism, adjustable, Black","7,500.00",,351,Active
42,2024-212,2024-01-24,17,1,"Swivel Chair, High Back, Leatherette, Black, Chrome Base Jersey JS-289","4,485.00",,351,Active
43,2021-1517,2021-03-10,30,1,"C930c Webcam, Logitech","7,990.00",,351,Active
44,2024-282,2024-01-18,17,1,"Stapler, standard type, SQI Brand",165,,351,Active
45,SPLV-2024-02-304,2024-02-14,17,1,"Folding Table, 6 ft., heavy duty","3,050.00",,351,Active
46,SPHV-2024-07-644,2024-06-20,30,1,"Ergonomic Office Chair, Gaming Chair","7,500.00",,351,Active
47,2020-1720,2020-10-21,30,1,"Monitor, 23"" full HD, IPS Panel, HDMI and VGA inputs, V239 Asus","9,990.00",from: J. Dongbo,351,Active
48,2024-232,2024-01-24,17,4,"Executive Office Chair, Leather, Fixed Arm Rest, High back, Black, Jersey - JS289","4,485.00",from: J. Dongbo,351,Active
49,2022-583,2022-09-30,17,1,"Mouse, A4Tech",150,,351,Active
50,2024-00-10402990-01-VDPCP,2024-05-23,30,1,Spray Blower w/ Back Pack,"441,000.00",,351,Active
51,2024-00-10402990-02-VDPCP,2024-05-23,30,1,Spray Blower w/ Back Pack,"441,000.00",,351,Active
52,2024-00-10402990-03-VDPCP,2024-05-23,30,1,Spray Blower w/ Back Pack,"441,000.00",,351,Active
53,2024-00-10402990-04-VDPCP,2024-05-23,30,1,Spray Blower w/ Back Pack,"441,000.00",,351,Active
54,2024-00-10402990-05-VDPCP,2024-05-23,30,1,Spray Blower w/ Back Pack,"441,000.00",,351,Active
55,2024-00-10402990-06-VDPCP,2024-05-23,30,1,Spray Blower w/ Back Pack,"441,000.00",,351,Active
56,2024-00-10402990-07-VDPCP,2024-05-23,30,1,Spray Blower w/ Back Pack,"441,000.00",,351,Active
57,2024-00-10402990-08-VDPCP,2024-05-23,30,1,Spray Blower w/ Back Pack,"441,000.00",,351,Active
58,2024-00-10402990-09-VDPCP,2024-05-23,30,1,Spray Blower w/ Back Pack,"441,000.00",,351,Active
59,2024-00-10402990-10-VDPCP,2024-05-23,30,1,Spray Blower w/ Back Pack,"441,000.00",,351,Active
60,2024-00-10402990-11-VDPCP,2024-05-23,30,1,Spray Blower w/ Back Pack,"441,000.00",,351,Active
1,2020-1400,2020-08-11,23,1,Head23 w/ Microphone and active noise cancelling fetaure,"5,850.00",,396,Active
2,2020-1668,2020-10-08,17,1,"Ergonomic Chair, C-BH151, black","4,800.00",,396,Active
3,2021-170,2021-01-22,17,1,"4K Webcam with HDR abd Windows Hello support, 4K Ultra HD video calling, Logitech C930e","9,580.00",,396,Active
4,2021-1470,2021-09-14,17,1,"External Hard Drive, 1TB,Toshiba","2,950.00",,396,Active
5,2021-1774,2021-11-16,17,1,A4 Tech Keyboard and Mouse,600,,396,Active
6,2021-1777,2021-11-16,17,1,"Head23 Microphone, Logitech 370","2,000.00",,396,Active
7,2021-1890,2021-12-10,17,1,"Speaker, VOIN Conference Station","6,990.00",,396,Active
8,2021-1783,2021-11-16,17,1,VGA-HDMI Converter/Adapter,450,,396,Active
9,2021-1941 ,2021-12-22,17,1,"Office Calculator, Deli 837",205,,396,Active
10,2022-015 ,2022-01-07,17,1,"Monitor, LG, 27""","12,900.00",,396,Active
11,2019-1001,2020-01-02,30,1,"Pedestal steel Cabinet, small size","14,550.00",,396,Active
12,2022-657,2022-11-04,30,1,"Laptop, Lenovo Ideapad Slim, 15.6""","48,383.00",,396,Active
